id,type,attack_id,attack_name,attack_description
attack-pattern--5f3da2f3-91c8-4d8b-a02f-bf43a11def55,['ics-attack'],['T0854'],Serial Connection Enumeration,adversaries may perform serial connection enumeration to gather situational awareness after gaining access to devices in the ot network  control systems devices often communicate to each other via various types of serial communication mediums  these serial communications are used to facilitate informational communication  as well as commands   serial connection enumeration differs from i o module discovery  as i o modules are auxiliary systems to the main system  and devices that are connected via serial connection are normally discrete systems_  while it and ot networks may work in tandem  the exact structure of the ot network may not be discernible from the it network alone  after gaining access to a device on the ot network  an adversary may be able to enumerate the serial connections  from this perspective  the adversary can see the specific physical devices to which the compromised device is connected to  this gives the adversary greater situational awareness and can influence the actions that the adversary can take in an attack 
attack-pattern--5fa00fdd-4a55-4191-94a0-564181d7fec2,['ics-attack'],['T0880'],Loss of Safety,adversaries may compromise safety system functions designed to maintain safe operation of a process when unacceptable or dangerous conditions occur  safety systems are often composed of the same elements as control systems but have the sole purpose of ensuring the process fails in a predetermined safe manner    many unsafe conditions in process control happen too quickly for a human operator to react to  speed is critical in correcting these conditions to limit serious impacts such as loss of control and property damage    adversaries may target and disable safety system functions as a prerequisite to subsequent attack execution or to allow for future unsafe conditionals to go unchecked  detection of a loss of safety by operators can result in the shutdown of a process due to strict policies regarding safety systems  this can cause a loss of productivity and revenue and may meet the technical goals of adversaries seeking to cause process disruptions 
attack-pattern--63b6942d-8359-4506-bfb3-cf87aa8120ee,['ics-attack'],['T0828'],Loss of Productivity and Revenue,adversaries may cause loss of productivity and revenue through disruption and even damage to the availability and integrity of control system operations  devices  and related processes  this technique may manifest as a direct effect of an ics targeting attack or tangentially  due to an it targeting attack against non segregated environments    in cases where these operations or services are brought to a halt  the loss of productivity may eventually present an impact for the end users or consumers of products and services  the disrupted supply chain may result in supply shortages and increased prices  among other consequences    a ransomware attack on an australian beverage company resulted in the shutdown of some manufacturing sites  including precautionary halts to protect key systems   citation  paganini  pierluigi june       the company announced the potential for temporary shortages of their products following the attack   citation  paganini  pierluigi june        citation  lion corporation june         in the      colonial pipeline ransomware incident  the pipeline was unable to transport approximately  _  million barrels of fuel per day to the east coast    citation  colonial pipeline company may      
attack-pattern--648f995e-9c3a-41e4-aeee-98bb41037426,['ics-attack'],['T0865'],Spearphishing Attachment,adversaries may use a spearphishing attachment  a variant of spearphishing  as a form of a social engineering attack against specific targets  spearphishing attachments are different from other forms of spearphishing in that they employ malware attached to an email  all forms of spearphishing are electronically delivered and target a specific individual  company  or industry  in this scenario  adversaries attach a file to the spearphishing email and usually rely upon  user  to gain execution and access   citation  enterprise att ck october         a chinese spearphishing campaign running from december         through february           targeted ong organizations and their employees  the emails were constructed with a high level of sophistication to convince employees to open the malicious file attachments   citation  cisa aa      a pipeline intrusion july      
attack-pattern--7374ab87-0782-41f8-b415-678c0950bb2a,['ics-attack'],['T0825'],Location Identification,adversaries may perform location identification using device data to inform operations and targeted impact for attacks  location identification data can come in a number of forms  including geographic location  location relative to other control system devices  time zone  and current time  an adversary may use an embedded global positioning system  gps  module in a device to figure out the physical coordinates of a device  nist sp       recommends that devices utilize gps or another location determining mechanism to attach appropriate timestamps to log entries  citation  guidance   nist sp         while this assists in logging and event tracking  an adversary could use the underlying positioning mechanism to determine the general location of a device  an adversary can also infer the physical location of serially connected devices by using serial connection enumeration    an adversary attempt to attack and cause impact could potentially affect other control system devices in close proximity  device local time and time zone settings can also provide adversaries a rough indicator of device location  when specific geographic identifiers cannot be determined from the system 
attack-pattern--7830cfcf-b268-4ac0-a69e-73c6affbae9a,['ics-attack'],['T0817'],Drive-by Compromise,adversaries may gain access to a system during a drive by compromise  when a user visits a website as part of a regular browsing session  with this technique  the user's web browser is targeted and exploited simply by visiting the compromised website    the adversary may target a specific community  such as trusted third party suppliers or other industry specific groups  which often visit the target website  this kind of targeted attack relies on a common interest  and is known as a strategic web compromise or watering hole attack    the national cyber awareness system  ncas  has issued a technical alert  ta  regarding russian government cyber activity targeting critical infrastructure sectors   citation  cybersecurity   infrastructure security agency march       analysis by dhs and fbi has noted two distinct categories of victims in the dragonfly campaign on the western energy sector  staging and intended targets  the adversary targeted the less secure networks of staging targets  including trusted third party suppliers and related peripheral organizations  initial access to the intended targets used watering hole attacks to target process control  ics  and critical infrastructure related trade publications and informational websites 
attack-pattern--83ebd22f-b401-4d59-8219-2294172cf916,['ics-attack'],['T0879'],Damage to Property,adversaries may cause damage and destruction of property to infrastructure  equipment  and the surrounding environment when attacking control systems  this technique may result in device and operational equipment breakdown  or represent tangential damage from other techniques used in an attack  depending on the severity of physical damage and disruption caused to control processes and systems  this technique may result in  loss of  operations that result in  loss of  may also cause damage to property  which may be directly or indirectly motivated by an adversary seeking to cause impact in the form of  loss of productivity and    in the maroochy shire attack  the adversary gained remote computer access to the control system and altered data so that whatever function should have occurred at affected pumping stations did not occur or occurred in a different way  this ultimately led to         liters of raw sewage being spilled out into the community  the raw sewage affected local parks  rivers  and even a local hotel  this resulted in harm to marine life and produced a sickening stench from the community's now blackened rivers_ citation  marshall abrams july        the german federal office for information security  bsi  reported a targeted attack on a steel mill under an incidents affecting business section of its      it security report   citation  bsi state of it security        these targeted attacks affected industrial operations and resulted in breakdowns of control system components and even entire installations  as a result of these breakdowns  massive impact and damage resulted from the uncontrolled shutdown of a blast furnace    a polish student used a remote controller device to interface with the lodz city tram system in poland   citation  john bill may        citation  shelley smith february        citation  bruce schneier january       using this remote  the student was able to capture and replay legitimate tram signals  this resulted in damage to impacted trams  people  and the surrounding property  reportedly  four trams were derailed and were forced to make emergency stops   citation  shelley smith february       commands issued by the student may have also resulted in tram collisions  causing harm to those on board and the environment outside   citation  bruce schneier january      
attack-pattern--8535b71e-3c12-4258-a4ab-40257a1becc4,['ics-attack'],['T0856'],Spoof Reporting Message,adversaries may spoof reporting messages in control system environments for evasion and to impair process control  in control systems  reporting messages contain telemetry data  e_g_  i o values  pertaining to the current state of equipment and the industrial process  reporting messages are important for monitoring the normal operation of a system or identifying important events such as deviations from expected values    if an adversary has the ability to spoof reporting messages  they can impact the control system in many ways  the adversary can spoof reporting messages that state that the process is operating normally  as a form of evasion  the adversary could also spoof reporting messages to make the defenders and operators think that other errors are occurring in order to distract them from the actual source of a problem   citation  bonnie zhu  anthony joseph  shankar sastry         in the maroochy shire attack  the adversary used a dedicated analog two way radio system to send false data and instructions to pumping stations and the central computer_ citation  marshall abrams july      
attack-pattern--85a45294-08f1-4539-bf00-7da08aa7b0ee,['ics-attack'],['T0866'],Exploitation of Remote Services,adversaries may exploit a software vulnerability to take advantage of a programming error in a program  service  or within the operating system software or kernel itself to enable remote service abuse  a common goal for post compromise exploitation of remote services is for initial access into and lateral movement throughout the ics environment to enable access to targeted systems   citation  enterprise att ck   ics asset owners and operators have been affected by ransomware  or disruptive malware masquerading as ransomware  migrating from enterprise it to ics environments  wannacry  notpetya  and badrabbit  in each of these cases  self propagating  wormable  malware initially infected it networks  but through exploit  particularly the smbv  targeting ms       vulnerability  spread to industrial networks  producing significant impacts   citation  joe slowik april      
attack-pattern--8bb4538f-f16f-49f0-a431-70b5444c7349,['ics-attack'],['T0812'],Default Credentials,adversaries may leverage manufacturer or supplier set default credentials on control system devices  these default credentials may have administrative permissions and may be necessary for initial configuration of the device  it is general best practice to change the passwords for these accounts as soon as possible  but some manufacturers may have devices that have passwords or usernames that cannot be changed   citation  keith stouffer may        default credentials are normally documented in an instruction manual that is either packaged with the device  published online through official means  or published online through unofficial means  adversaries may leverage default credentials that have not been properly modified or disabled 
attack-pattern--8d2f3bab-507c-4424-b58b-edc977bd215c,['ics-attack'],['T0822'],External Remote Services,adversaries may leverage external remote services as a point of initial access into your network  these services allow users to connect to internal network resources from external locations  examples are vpns  citrix  and other access mechanisms  remote service gateways often manage connections and credential authentication for these services   citation  daniel oakley  travis smith  tripwire   external remote services allow administration of a control system from outside the system  often  vendors and internal engineering groups have access to external remote services to control system networks via the corporate network  in some cases  this access is enabled directly from the internet  while remote access enables ease of maintenance when a control system is in a remote area  compromise of remote access solutions is a liability  the adversary may use these services to gain access to and execute attacks against a control system network  access to valid accounts is often a requirement    as they look for an entry point into the control system network  adversaries may begin searching for existing point to point vpn implementations at trusted third party networks or through remote support employee connections where split tunneling is enabled   citation  electricity information sharing and analysis center  sans industrial control systems march        in the maroochy shire attack  the adversary gained remote computer access to the system over radio_ citation  marshall abrams july      
attack-pattern--8e7089d3-fba2-44f8-94a8-9a79c53920c4,['ics-attack'],['T0806'],Brute Force I/O,adversaries may repetitively or successively change i o point values to perform an action  brute force i o may be achieved by changing either a range of i o point values or a single point value repeatedly to manipulate a process function  the adversarys goal and the information they have about the target environment will influence which of the options they choose  in the case of brute forcing a range of point values  the adversary may be able to achieve an impact without targeting a specific point  in the case where a single point is targeted  the adversary may be able to generate instability on the process function associated with that particular point    adversaries may use brute force i o to cause failures within various industrial processes  these failures could be the result of wear on equipment or damage to downstream equipment 
attack-pattern--94f042ae-3033-4a8d-9ec3-26396533a541,['ics-attack'],['T0870'],Detect Program State,adversaries may seek to gather information about the current state of a program on a plc  state information reveals information about the program  including whether it's running  halted  stopped  or has generated an exception  this information may be leveraged as a verification of malicious program execution or to determine if a plc is ready to download a new program 
attack-pattern--9a505987-ab05-4f46-a9a6-6441442eec3b,['ics-attack'],['T0830'],Adversary-in-the-Middle,adversaries with privileged network access may seek to modify network traffic in real time using adversary in the middle  aitm  attacks   citation  gabriel sanchez october       this type of attack allows the adversary to intercept traffic to and or from a particular device on the network  if a aitm attack is established  then the adversary has the ability to block  log  modify  or inject traffic into the communication stream  there are several ways to accomplish this attack  but some of the most common are address resolution protocol  arp  poisoning and the use of a proxy   citation  bonnie zhu  anthony joseph  shankar sastry          an aitm attack may allow an adversary to perform the following attacks     block reporting   spoof reporting   modify   unauthorized command
attack-pattern--9f947a1c-3860-48a8-8af0-a2dfa3efde03,['ics-attack'],['T0820'],Exploitation for Evasion,adversaries may exploit a software vulnerability to take advantage of a programming error in a program  service  or within the operating system software or kernel itself to evade detection  vulnerabilities may exist in software that can be used to disable or circumvent security features     adversaries may have prior knowledge through  remote system information  about security features implemented on control devices  these device security features will likely be targeted directly for exploitation  there are examples of firmware ram rom consistency checks on control devices being targeted by adversaries to enable the installation of malicious  system
attack-pattern--a81696ef-c106-482c-8f80-59c30f2569fb,['ics-attack'],['T0827'],Loss of Control,adversaries may seek to achieve a sustained loss of control or a runaway condition in which operators cannot issue any commands even if the malicious interference has subsided    citation  michael j  assante and robert m  lee   citation  tyson macaulay   the german federal office for information security  bsi  reported a targeted attack on a steel mill in its      it security report_ citation  bsi state of it security       these targeted attacks affected industrial operations and resulted in breakdowns of control system components and even entire installations  as a result of these breakdowns  massive impact resulted in damage and unsafe conditions from the uncontrolled shutdown of a blast furnace 
attack-pattern--a8cfd474-9358-464f-a169-9c6f099a8e8a,['ics-attack'],['T0875'],Change Program State,adversaries may attempt to change the state of the current program on a control device  program state changes may be used to allow for another program to take over control or be loaded onto the device 
attack-pattern--ab390887-afc0-4715-826d-b1b167d522ae,['ics-attack'],['T0874'],Hooking,adversaries may hook into application programming interface  api  functions used by processes to redirect calls for execution and privilege escalation means  windows processes often leverage these api functions to perform tasks that require reusable system resources  windows api functions are typically stored in dynamic link libraries  dlls  as exported functions   citation  enterprise att ck   one type of hooking seen in ics involves redirecting calls to these functions via import address table  iat  hooking  iat hooking uses modifications to a processs iat  where pointers to imported api functions are stored   citation  nicolas falliere  liam o murchu  eric chien february      
attack-pattern--abb0a255-eb9c-48d0-8f5c-874bb84c0e45,['ics-attack'],['T0808'],Control Device Identification,adversaries may perform control device identification to determine the make and model of a target device  management software and device apis may be utilized by the adversary to gain this information  by identifying and obtaining device specifics  the adversary may be able to determine device vulnerabilities  this device information can also be used to understand device functionality and inform the decision to target the environment 
attack-pattern--ae62fe1a-ea1a-479b-8dc0-65d250bd8bc7,['ics-attack'],['T0844'],Program Organization Units,program organizational units  pous  are block structures used within plc programming to create programs and projects   citation  guidance   iec       pous can be used to hold user programs written in iec         languages  structured text  instruction list  function block  and ladder logic   citation  guidance   iec       application          they can also provide additional functionality  such as establishing connections between the plc and other devices using tcon   citation  plcblaster   spenneberg     stuxnet uses a simple code prepending infection technique to infect organization blocks  ob   for example  the following sequence of actions is performed when ob  is infected   citation  stuxnet   symantec             increase the size of the original block_  write malicious code to the beginning of the block_  insert the original ob  code after the malicious code 
attack-pattern--b0628bfc-5376-4a38-9182-f324501cb4cf,['ics-attack'],['T0823'],Graphical User Interface,adversaries may attempt to gain access to a machine via a graphical user interface  gui  to enhance execution capabilities  access to a gui allows a user to interact with a computer in a more visual manner than a cli  a gui allows users to move a cursor and click on interface objects  with a mouse and keyboard as the main input devices  as opposed to just using the keyboard_  if physical access is not an option  then access might be possible via protocols such as vnc on linux based and unix based operating systems  and rdp on windows operating systems  an adversary can use this access to execute programs and applications on the target machine 
attack-pattern--b14395bd-5419-4ef4-9bd8-696936f509bb,['ics-attack'],['T0848'],Rogue Master,adversaries may setup a rogue master to leverage control server functions to communicate with outstations  a rogue master can be used to send legitimate control messages to other control system devices  affecting processes in unintended ways  it may also be used to disrupt network communications by capturing and receiving the network traffic meant for the actual master  impersonating a master may also allow an adversary to avoid detection    in the maroochy shire attack  the adversary falsified network addresses in order to send false data and instructions to pumping stations_ citation  marshall abrams july        in the case of the      dallas siren incident  adversaries used a rogue master to send command messages to the     distributed sirens across the city  either through a single rogue transmitter with a strong signal  or using many distributed repeaters   citation  bastille april        citation  zack whittaker april      
attack-pattern--b52870cc-83f3-473c-b895-72d91751030b,['ics-attack'],['T0834'],Native API,adversaries may directly interact with the native os application programming interface  api  to access system functions  native apis provide a controlled means of calling low level os services within the kernel  such as those involving hardware devices  memory  and processes   citation  the mitre corporation may       these native apis are leveraged by the os during system boot  when other system components are not yet initialized  as well as carrying out tasks and requests during routine operations    functionality provided by native apis are often also exposed to user mode applications via interfaces and libraries  for example  functions such as memcpy and direct operations on memory registers can be used to modify user and system memory space 
attack-pattern--b5b9bacb-97f2-4249-b804-47fd44de1f95,['ics-attack'],['T0826'],Loss of Availability,adversaries may attempt to disrupt essential components or systems to prevent owner and operator from delivering products or services    citation  michael j  assante and robert m  lee   citation  tyson macaulay    adversaries may leverage malware to delete or encrypt critical data on hmis  workstations  or databases_  in the      colonial pipeline ransomware incident  pipeline operations were temporally halted on may  th and were not fully restarted until may   th   citation  colonial pipeline company may      
attack-pattern--b7e13ee8-182c-4f19-92a4-a88d7d855d54,['ics-attack'],['T0882'],Theft of Operational Information,adversaries may steal operational information on a production environment as a direct mission outcome for personal gain or to inform future operations  this information may include design documents  schedules  rotational data  or similar artifacts that provide insight on operations     in the bowman dam incident  adversaries probed systems for operational data   citation  mark thompson march        citation  danny yadron december      
attack-pattern--b9160e77-ea9e-4ba9-b1c8-53a3c466b13d,['ics-attack'],['T0857'],System Firmware,system firmware on modern assets is often designed with an update feature  older device firmware may be factory installed and require special reprograming equipment  when available  the firmware update feature enables vendors to remotely patch bugs and perform upgrades  device firmware updates are often delegated to the user and may be done using a software update package  it may also be possible to perform this task over the network    an adversary may exploit the firmware update feature on accessible devices to upload malicious or out of date firmware  malicious modification of device firmware may provide an adversary with root access to a device  given firmware is one of the lowest programming abstraction layers   citation  basnight  zachry  et al_ 
attack-pattern--ba203963-3182-41ac-af14-7e7ebc83cd61,['ics-attack'],['T0849'],Masquerading,adversaries may use masquerading to disguise a malicious application or executable as another file  to avoid operator and engineer suspicion  possible disguises of these masquerading files can include commonly found programs  expected vendor executables and configuration files  and other commonplace application and naming conventions  by impersonating expected and vendor relevant files and applications  operators and engineers may not notice the presence of the underlying malicious content and possibly end up running those masquerading as legitimate functions    applications and other files commonly found on windows systems or in engineering workstations have been impersonated before  this can be as simple as renaming a file to effectively disguise it in the ics environment 
attack-pattern--be69c571-d746-4b1f-bdd0-c0c9817e9068,['ics-attack'],['T0843'],Program Download,adversaries may perform a program download to transfer a user program to a controller    variations of program download  such as online edit and program append  allow a controller to continue running during the transfer and reconfiguration process without interruption to process control  however  before starting a full program download  i_e_  download all  a controller may need to go into a stop state  this can have negative consequences on the physical process  especially if the controller is not able to fulfill a time sensitive action  adversaries may choose to avoid a download all in favor of an online edit or program append to avoid disrupting the physical process  an adversary may need to use the technique detect operating mode or change operating mode to make sure the controller is in the proper mode to accept a program download_  the granularity of control to transfer a user program in whole or parts is dictated by the management protocol  e_g_  s commplus  tristation  and underlying controller api  thus  program download is a high level term for the suite of vendor specific api calls used to configure a controllers user program memory space      modify controller  and  modify  represent the configuration changes that are transferred to a controller via a program download 
attack-pattern--c267bbee-bb59-47fe-85e0-3ed210337c21,['ics-attack'],['T0847'],Replication Through Removable Media,adversaries may move onto systems  such as those separated from the enterprise network  by copying malware to removable media which is inserted into the control systems environment  the adversary may rely on unknowing trusted third parties  such as suppliers or contractors with access privileges  to introduce the removable media  this technique enables initial access to target devices that never connect to untrusted networks  but are physically accessible        operators of the german nuclear power plant  gundremmingen  discovered malware on a facility computer not connected to the internet   citation  kernkraftwerk gundremmingen april        citation  trend micro april       the malware included conficker and w  _ramnit  which were also found on eighteen removable disk drives in the facility   citation  christoph steitz  eric auchard april        citation  catalin cimpanu april        citation  peter dockrill april        citation  lee mathews april        citation  sean gallagher april        citation  dark reading staff april       the plant has since checked for infection and cleaned up more than       computers   citation  bbc april       an eset researcher commented that internet disconnection does not guarantee system safety from infection or payload execution   citation  eset april      
attack-pattern--c5e3cdbc-0387-4be9-8f83-ff5c0865f377,['ics-attack'],['T0852'],Screen Capture,adversaries may attempt to perform screen capture of devices in the control system environment  screenshots may be taken of workstations  hmis  or other devices that display environment relevant process  device  reporting  alarm  or related data  these device displays may reveal information regarding the ics process  layout  control  and related schematics  in particular  an hmi can provide a lot of important industrial process information   citation  ics cert october       analysis of screen captures may provide the adversary with an understanding of intended operations and interactions between critical devices 
attack-pattern--c9a8d958-fcdb-40d2-af4c-461c8031651a,['ics-attack'],['T0891'],Hardcoded Credentials,adversaries may leverage credentials that are hardcoded in software or firmware to gain an unauthorized interactive user session to an asset  examples credentials that may be hardcoded in an asset include     username passwords   cryptographic keys certificates   api tokens  unlike  default  these credentials are built into the system in a way that they either cannot be changed by the asset owner  or may be infeasible to change because of the impact it would cause to the control system operation  these credentials may be reused across whole product lines or device models and are often not published or known to the owner and operators of the asset    adversaries may utilize these hardcoded credentials to move throughout the control system environment or provide reliable access for their tools to interact with industrial assets 
attack-pattern--cd2c76a4-5e23-4ca5-9c40-d5e0604f7101,['ics-attack'],['T0859'],Valid Accounts,adversaries may steal the credentials of a specific user or service account using credential access techniques  in some cases  default credentials for control system devices may be publicly available  compromised credentials may be used to bypass access controls placed on various resources on hosts and within the network  and may even be used for persistent access to remote systems  compromised and default credentials may also grant an adversary increased privilege to specific systems and devices or access to restricted areas of the network  adversaries may choose not to use malware or tools  in conjunction with the legitimate access those credentials provide  to make it harder to detect their presence or to control devices and send legitimate commands in an unintended way    adversaries may also create accounts  sometimes using predefined account names and passwords  to provide a means of backup access for persistence   citation  booz allen hamilton    the overlap of credentials and permissions across a network of systems is of concern because the adversary may be able to pivot across accounts and systems to reach a high level of access  i_e_  domain or enterprise administrator   and possibly between the enterprise and operational technology environments  adversaries may be able to leverage valid credentials from one system to gain access to another system 
attack-pattern--cfe68e93-ce94-4c0f-a57d-3aa72cedd618,['ics-attack'],['T0890'],Exploitation for Privilege Escalation,adversaries may exploit software vulnerabilities in an attempt to elevate privileges  exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program  service  or within the operating system software or kernel itself to execute adversary controlled code  security constructs such as permission levels will often hinder access to information and use of certain techniques  so adversaries will likely need to perform privilege escalation to include use of software exploitation to circumvent those restrictions   citation  the mitre corporation    when initially gaining access to a system  an adversary may be operating within a lower privileged process which will prevent them from accessing certain resources on the system  vulnerabilities may exist  usually in operating system components and software commonly running at higher permissions  that can be exploited to gain higher levels of access on the system  this could enable someone to move from unprivileged or user level permissions to system or root permissions depending on the component that is vulnerable  this may be a necessary step for an adversary compromising an endpoint system that has been properly configured and limits other privilege escalation methods   citation  the mitre corporation 
attack-pattern--d5a69cfb-fc2a-46cb-99eb-74b236db5061,['ics-attack'],['T0846'],Remote System Discovery,adversaries may attempt to get a listing of other systems by ip address  hostname  or other logical identifier on a network that may be used for subsequent lateral movement or discovery techniques  functionality could exist within adversary tools to enable this  but utilities available on the operating system or vendor software could also be used   citation  enterprise att ck january      
attack-pattern--d614a9cf-18eb-4800-81e4-ab8ddf0baa73,['ics-attack'],['T0818'],Engineering Workstation Compromise,adversaries will compromise and gain control of an engineering workstation for initial access into the control system environment  access to an engineering workstation may occur through or physical means  such as a valid accounts with privileged access or infection by removable media  a dual homed engineering workstation may allow the adversary access into multiple networks  for example  unsegregated process control  safety system  or information system networks  an engineering workstation is designed as a reliable computing platform that configures  maintains  and diagnoses control system equipment and applications  compromise of an engineering workstation may provide access to  and control of  other control system applications and equipment  in the maroochy attack  the adversary utilized a computer  possibly stolen  with proprietary engineering software to communicate with a wastewater system 
attack-pattern--d67adac8-e3b9-44f9-9e6d-6c2a7d69dbe4,['ics-attack'],['T0884'],Connection Proxy,adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications_  the definition of a proxy can also be expanded to encompass trust relationships between networks in peer to peer  mesh  or trusted connections between networks consisting of hosts or systems that regularly communicate with each other_  the network may be within a single organization or across multiple organizations with trust relationships  adversaries could use these types of relationships to manage command and control communications  to reduce the number of simultaneous outbound network connections  to provide resiliency in the face of connection loss  or to ride over existing trusted communications paths between victims to avoid suspicion   citation  enterprise att ck january      
attack-pattern--e076cca8-2f08-45c9-aff7-ea5ac798b387,['ics-attack'],['T0869'],Standard Application Layer Protocol,adversaries may establish command and control capabilities over commonly used application layer protocols such as http s   opc  rdp  telnet  dnp   and modbus  these protocols may be used to disguise adversary actions as benign network traffic  standard protocols may be seen on their associated port or in some cases over a non standard port   adversaries may use these protocols to reach out of the network for command and control  or in some cases to other infected devices within the network 
attack-pattern--e0d74479-86d2-465d-bf36-903ebecef43e,['ics-attack'],['T0833'],Modify Control Logic,adversaries may place malicious code in a system  which can cause the system to malfunction by modifying its control logic  control system devices use programming languages  e_g  relay ladder logic  to control physical processes by affecting actuators  which cause machines to operate  based on environment sensor readings  these devices often include the ability to perform remote control logic updates    program code is normally edited in a vendor specific integrated development environment  ide  that relies on proprietary tools and features  these ides allow an engineer to perform host target development and may have the ability to run the code on the machine it is programmed for  the ide will transmit the control logic to the testing device  and will perform the required device specific functions to apply the changes and make them active_  an adversary may attempt to use this host target ide to modify device control logic  even though proprietary tools are often used to edit and update control logic  the process can usually be reverse engineered and reproduced with open source tools_  an adversary can de calibrate a sensor by removing functions in control logic that account for sensor error  this can be used to change a control process without actually spoofing command messages to a controller or device    it is believed this process happened in the lesser known over pressurizer attacks build into stuxnet  pressure sensors are not perfect at translating pressure into an analog output signal  but their errors can be corrected by calibration  the pressure controller can be told what the  real  pressure is for given analog signals and then automatically linearize the measurement to what would be the  real  pressure  if the linearization is overwritten by malicious code on the s      controller  analog pressure readings will be  corrected  during the attack by the pressure controller  which then interprets all analog pressure readings as perfectly normal pressure no matter how high or low their analog values are  the pressure controller then acts accordingly by never opening the stage exhaust valves  in the meantime  actual pressure keeps rising   citation  stuxnet   langner            in the maroochy attack  vitek boden gained remote computer access to the control system and altered data so that whatever function should have occurred at affected pumping stations did not occur or occurred in a different way  the software program installed in the laptop was one developed by hunter watertech for its use in changing configurations in the pds computers  this ultimately led to         liters of raw sewage being spilled out into the community   citation  maroochy   mitre          
attack-pattern--e1f9cdd2-9511-4fca-90d7-f3e92cfdd0bf,['ics-attack'],['T0886'],Remote Services,adversaries may leverage remote services to move between assets and network segments  these services are often used to allow operators to interact with systems remotely within the network  some examples are rdp  smb  ssh  and other similar mechanisms   citation  blake johnson  dan caban  marina krotofil  dan scali  nathan brubaker  christopher glyer december        citation  dragos december        citation  joe slowik april         remote services could be used to support remote access  data transmission  authentication  name resolution  and other remote functions  further  remote services may be necessary to allow operators and administrators to configure systems within the network from their engineering or management workstations  an adversary may use this technique to access devices which may be dual homed  citation  blake johnson  dan caban  marina krotofil  dan scali  nathan brubaker  christopher glyer december       to multiple network segments  and can be used for  program  or to execute attacks on control devices directly through  valid   specific remote services  rdp   vnc  may be a precursor to enable  graphical user  execution on devices such as hmis or engineering workstation software_  based on incident data  cisa and fbi assessed that chinese state sponsored actors also compromised various authorized remote access channels  including systems designed to transfer data and or allow access between corporate and ics networks    citation  cisa aa      a pipeline intrusion july      
attack-pattern--e2994b6a-122b-4043-b654-7411c5198ec0,['ics-attack'],['T0824'],I/O Module Discovery,adversaries may use input output  i o  module discovery to gather key information about a control system device  an i o module is a device that allows the control system device to either receive or send signals to other devices  these signals can be analog or digital  and may support a number of different protocols  devices are often able to use attachable i o modules to increase the number of inputs and outputs that it can utilize  an adversary with access to a device can use native device functions to enumerate i o modules that are connected to the device  information regarding the i o modules can aid the adversary in understanding related control processes 
attack-pattern--e33c7ecc-5a38-497f-beb2-a9a2049a4c20,['ics-attack'],['T0813'],Denial of Control,adversaries may cause a denial of control to temporarily prevent operators and engineers from interacting with process controls  an adversary may attempt to deny process control access to cause a temporary loss of communication with the control device or to prevent operator adjustment of process controls  an affected process may still be operating during the period of control loss  but not necessarily in a desired state    citation  michael j  assante and robert m  lee   citation  tyson macaulay   in the maroochy shire attack  the adversary temporarily shut an investigator out of the network preventing them from issuing any controls_ citation  marshall abrams july        in the      dallas siren incident operators were unable to disable the false alarms from the office of emergency management headquarters   citation  mark loveless april      
attack-pattern--e5de767e-f513-41cd-aa15-33f6ce5fbf92,['ics-attack'],['T0838'],Modify Alarm Settings,adversaries may modify alarm settings to prevent alerts that may inform operators of their presence or to prevent responses to dangerous and unintended scenarios  reporting messages are a standard part of data acquisition in control systems  reporting messages are used as a way to transmit system state information and acknowledgements that specific actions have occurred  these messages provide vital information for the management of a physical process  and keep operators  engineers  and administrators aware of the state of system devices and physical processes    if an adversary is able to change the reporting settings  certain events could be prevented from being reported  this type of modification can also prevent operators or devices from performing actions to keep the system in a safe state  if critical reporting messages cannot trigger these actions then a  could occur    in ics environments  the adversary may have to use  alarm  or contend with multiple alarms and or alarm propagation to achieve a specific goal to evade detection or prevent intended responses from occurring   citation  jos wetzels  marina krotofil        methods of suppression often rely on modification of alarm settings  such as modifying in memory code to fixed values or tampering with assembly level instruction code    in the maroochy shire attack  the adversary disabled alarms at four pumping stations  this caused alarms to not be reported to the central computer_ citation  marshall abrams july      
attack-pattern--e6c31185-8040-4267-83d3-b217b8a92f07,['ics-attack'],['T0885'],Commonly Used Port,adversaries may communicate over a commonly used port to bypass firewalls or network detection systems and to blend in with normal network activity  to avoid more detailed inspection  they may use the protocol associated with the port  or a completely different protocol  they may use commonly open ports  such as the examples provided below        tcp     http      tcp      https      tcp udp     dns      tcp            opc on xp win k       tcp              opc on vista and later      tcp     telnet      udp      snmp      tcp      modbus      tcp      s comm iso tsap      tcp        dnp       tcp        ethernet ip 
attack-pattern--e72425f8-9ae6-41d3-bfdb-e1b865e60722,['ics-attack'],['T0873'],Project File Infection,adversaries may attempt to infect project files with malicious code  these project files may consist of objects  program organization units  variables such as tags  documentation  and other configurations needed for plc programs to function   using built in functions of the engineering software  adversaries may be able to download an infected program to a plc in the operating environment enabling further  and  techniques     adversaries may export their own code into project files with conditions to execute at specific intervals   citation  nicolas falliere  liam o murchu  eric chien february       malicious programs allow adversaries control of all aspects of the process enabled by the plc  once the project file is downloaded to a plc the workstation device may be disconnected with the infected project file still executing 
